,lt_0 - slope,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma
ANSS,0.4770519518571767,0.4866460900303518,[-0.00134757 -0.00063821 -0.00058929  0.00046515 -0.00053098 -0.00013614],"[ 1.47949235e-02 -2.19229508e-03 -6.59169396e-03  8.45844930e-03
 -4.53751972e-03 -1.74434414e-03  5.57502787e-03 -2.98992040e-03
  1.31009426e-03  3.59240006e-03 -1.34784684e-05  2.23101665e-03
 -1.62621630e-03  3.06785107e-03 -4.85369335e-03 -7.14638228e-04
  3.95161905e-03 -4.16066173e-03  4.26678812e-03  5.97298224e-03]",-4.291278771913589,0.013687411024583592
AON,-0.6307599841426998,1.5795249284306423,"[ 3.43207531e-05  6.86777142e-04 -3.98008721e-04  1.28922564e-03
 -5.26087197e-04  3.91771408e-04]","[ 0.01614168 -0.00672813 -0.00109791  0.01226444 -0.01013445  0.00167299
  0.00475171 -0.00773972  0.00268176  0.00567612 -0.00282487 -0.00042885
  0.00377796  0.00109585 -0.00386234  0.00418425  0.00112598 -0.00250809
 -0.00036004  0.00593052]",-4.788359600206038,0.008326104325461204
AOS,1.014257419198435,-0.03565172517568904,[0.00092335 0.00050097 0.00029429 0.00027074 0.00011927 0.00028667],"[ 1.42678633e-02  5.02043535e-04 -9.95287683e-03  6.85885493e-03
 -2.04880729e-03 -3.98264459e-03  6.35372039e-03 -5.40843450e-04
 -2.18879011e-04  2.43761901e-03  1.97846487e-03  1.62315822e-03
 -1.44160739e-03  4.71593688e-03 -5.07421378e-03 -1.02919920e-04
  2.20351972e-03 -2.20074970e-03  1.21070581e-05  3.04826300e-03]",-4.752077821961899,0.008633737184064037
APA,0.48179499619808797,0.49210685055991005,[ 0.00020466  0.00194343 -0.0005015   0.00104146 -0.00021907  0.00054892],"[ 0.01521163 -0.00197008 -0.00731631  0.00961263 -0.0061938  -0.00306613
  0.00785586 -0.00436469  0.0017426   0.00637489 -0.00254079  0.00164068
 -0.00030414  0.00031783 -0.00074063  0.00090225  0.0015453   0.0021961
 -0.00423142  0.00199118]",-4.350338120047155,0.012902449266105136
APD,0.481348626235451,0.4924638134668071,"[ 4.81658049e-04  8.58598129e-04 -2.90607052e-04  4.83593076e-04
 -2.55479380e-04 -9.29567786e-05]","[ 1.54885489e-02 -5.66217922e-03 -2.32926241e-03  1.04650914e-02
 -7.32367491e-03  1.04399876e-03  4.58456924e-03 -5.04218791e-03
  1.52533757e-03  4.87673935e-03 -2.48906233e-03  7.65608796e-04
  2.65460154e-04 -6.53736027e-05 -6.52752114e-04  5.67342740e-05
  4.59227016e-03  1.60061869e-03 -2.91557429e-03  7.16488146e-03]",-4.498865787346205,0.011121603650908786
APH,0.47591228129161234,0.48532821596593484,"[ 1.26236380e-03 -4.42222630e-04  8.36261327e-04  1.00992490e-03
  3.49015357e-05  9.30921381e-04]","[ 0.01563888 -0.00422134 -0.00452327  0.01088171 -0.00790526 -0.00109229
  0.00657442 -0.0055089   0.00167622  0.00558431 -0.00134492  0.00059827
  0.0007112   0.00274975 -0.00462844  0.00082351  0.00301272 -0.00240925
  0.00049562  0.00427751]",-4.284758475780124,0.013776948586254532
APTV,1.0359609358494135,-0.06406228810614796,"[-6.82495783e-04 -1.22718772e-04 -5.17818099e-04  8.87214564e-04
 -5.76091748e-04  7.37674072e-05]","[ 0.01420078  0.00073556 -0.01062882  0.00637431 -0.00085978 -0.00516345
  0.00835886  0.00127238 -0.00194821  0.00496385 -0.00052915  0.00078479
 -0.00228942  0.00189364 -0.00171654 -0.00215901  0.00434185  0.00073752
 -0.00056017  0.00350193]",-4.452471645147681,0.011649737339995995
ARE,0.47680641858433004,0.48646594792985576,"[-4.31775010e-05  1.78106359e-03 -4.99396186e-04  1.55860952e-03
 -3.86063379e-04  8.58325854e-04]","[ 0.01461236 -0.00245852 -0.00636831  0.00767297 -0.00299864 -0.00195735
  0.00693338 -0.00083034 -0.00120142  0.00689969 -0.00496101 -0.00085546
  0.00193939 -0.00315593  0.00122307  0.00267593  0.00130319 -0.00121038
  0.00665354  0.00630791]",-4.269824482427681,0.013984237417351001
ATO,1.8421015221911512,-0.8781861260733147,"[ 3.25406600e-04  1.15123746e-04 -4.72289434e-05  1.35419700e-04
 -1.24396236e-04 -1.46465102e-04]","[ 0.01325056  0.00608397 -0.01653735  0.00336313  0.00259796 -0.00816635
  0.00859508  0.00231963  0.00011678  0.00392708 -0.00100605  0.00364217
 -0.00165666 -0.00039984 -0.00010273  0.00360495 -0.00447972 -0.00156632
  0.00514636 -0.00137039]",-5.305053207915178,0.004966433967810206
AVB,1.1663606595216855,-0.19988182279476965,"[ 5.14088640e-04  5.89598824e-05 -7.52023282e-05  8.53319349e-04
 -4.30840626e-04  3.93326266e-05]","[ 0.01367755  0.00149181 -0.01110119  0.00442602  0.00190451 -0.00500254
  0.00836568  0.00351793 -0.00326887  0.00714328 -0.00562228 -0.00093709
  0.00146962 -0.00499766  0.00342512  0.00314071 -0.00013856 -0.00060819
  0.00837199  0.00547614]",-4.860503677964884,0.007746581126134418
